year_week,WIND_DIRECTION_DEG,WIND_SPEED_MS,BAROMETRIC_PRESSURE_HPA,TEMP_2M_C,RELATIVE_HUMIDITY_PCT,total_ozone,mu,value
1980-W34,165.184524,3.57619,680.997619,7.240602,18.654135,269.2,1.0556,341.7924579
1980-W35,193.625,2.339286,682.020238,7.83875,33.245399,262.8,1.0762,341.63
1980-W36,186.803571,4.473214,682.13631,8.294012,47.712575,258.75,1.0505,341.5975
1980-W37,135.041667,3.902976,681.442262,10.953293,24.143713,259.6,1.0636,337.59
1980-W38,207.233533,2.911377,681.344048,6.51018,43.97006,268.6,1.2104,336.245
1980-W39,178.012048,2.08012,682.270238,7.233333,54.690476,249.4,1.253,337.015
1980-W40,172.562874,2.979042,682.08869,6.660479,41.832335,254.6,1.2466,335.91
1980-W41,138.023952,5.893413,682.783333,8.878571,25.089286,257.6,1.1642,337.605
1980-W42,135.502994,4.910778,681.95509,7.999394,18.878788,260.75,1.2555,336.67
1980-W43,158.497006,4.753293,681.563095,8.022619,19.505952,260.2,1.1802,342.37
1980-W44,125.524096,4.277711,682.146429,7.644643,18.172619,259.2,1.247,337.6
1980-W45,168.168675,5.703012,683.170833,9.662874,24.508982,245.4,1.235,336.785
1980-W46,157.005988,5.037126,681.969048,7.643114,16.736527,259,1.27225,338.13
1980-W47,134.511905,6.16369,681.908333,8.530864,10.895062,250,1.3124,336.78
1980-W48,153.928144,3.406587,680.72619,6.302994,27.311377,242,1.3465,337.78
1980-W49,217.14881,3.258333,680.433333,6.861345,25.478992,246.8,1.3514,339.21
1980-W50,177.791667,3.291071,680.78631,8.5936,18.064,256.2,1.3882,343.13
1980-W51,236.666667,7.450595,678.275595,5.458503,24.965986,248.6,1.38,350.8275
1980-W52,242.345238,5.272619,681.045833,8.667665,29.431138,238,1.43825,341.99
1981-W01,257.869048,5.794643,679.808929,6.394479,16.055215,233.5,1.4065,345.315
1981-W02,203.607143,3.539286,681.173214,8.177108,12.13253,243,1.3724,339.835
1981-W03,245.619048,6.183333,679.141071,6.586228,18.413174,226.4,1.3362,339.515
1981-W04,218.556886,7.546707,680.775,7.835928,22.549669,231.5,1.317,340.45
1981-W05,159.994048,2.770238,681.635119,7.511377,14.137725,248.4,1.3132,341.385
1981-W06,243.72619,6.345238,678.1375,5.301899,16.710744,245.6,1.3062,349.595
1981-W07,208.464286,9.269048,678.807738,7.119481,17.218182,252.75,1.24775,345.69
1981-W08,150.029762,5.403571,682,8.362275,14.682635,239.5,1.21675,348.295
1981-W09,133.613095,9.898214,679.595238,3.632857,18.981308,257.333,1.150667,345.9016667
1981-W10,180.362319,5.902174,681.067262,5.279874,18.684932,254,1.222,346.0175
1981-W11,170.27381,3.169048,682.17619,6.390446,18.095808,249.8,1.168,346.315
1981-W12,225.380952,3.911905,679.952381,7.296429,14.216667,270.4,1.0866,356.17
1981-W13,146.327381,6.253571,681.658333,5.839024,20.422619,274.6,1.0726,346.08
1981-W14,169.130952,5.706548,680.549405,4.398039,24.827381,290,1.08325,345.515
1981-W15,239.190476,3.847024,678.791667,5.214013,21.922619,288.4,1.0538,347.895
1981-W16,174.419162,3.708383,681.614881,5.94908,25.191617,281.2,1.081,345.81
1981-W17,144.869048,4.489286,682.004167,9.182143,13.02381,286,1.0364,357.48
1981-W18,208.02994,3.351497,680.741071,7.099383,22.987097,270.6,1.0716,344.535
1981-W19,249.708333,5.295833,680.134524,7.940476,32.803571,279,1.0548,347.04
1981-W20,181.852257,4.701665,681.391667,9.555952,11.065476,267.8,1.0238,343.975
1981-W21,181.852257,4.701665,681.668182,9.356579,24.144928,289.4,1.1128,343.355
1981-W22,158.368421,2.117105,682.780357,10.663095,17.916667,266.75,1.023,343.06
1981-W23,149.149701,5.349102,682.589286,10.786905,14.547619,270.2,1.045,342.8861111
1981-W24,152.577381,10.913095,682.085714,9.427976,17.985401,278.5,1.0615,343.2
1981-W25,171.311377,3.95988,681.332143,10.2,19.392157,267.2,1.0808,342.235
1981-W26,184.526946,3.844311,681.620833,7.446061,38.057377,270.6,1.048,341.655
1981-W27,177.892857,3.767262,681.035714,8.979518,31.899281,265.25,1.34225,340.315
1981-W28,128.826923,5.910256,682.870833,11.982036,11.169231,263.4,1.0238,341.375
1981-W29,140.239521,3.186826,680.969643,9.798193,25.054688,265.4,1.0284,338.685
1981-W30,149.962963,5.314815,681.873214,9.178571,26.470588,265.2,1.0596,339.67
1981-W31,145.982036,3.879641,682.029762,7.965854,40.939024,267.5,1.1365,339.03
1981-W32,157.017964,4.237126,681.332738,8.612575,59.318841,257.5,1.0565,339.7691667
1981-W33,214.994012,4.297605,682.578571,8.092771,51.222222,263.8,1.1576,339.1125
1981-W34,126.036145,4.631325,682.547619,9.957831,33.46988,265.2,1.03,338.26
1981-W35,171.227545,3.339521,681.296429,8.239286,34.732143,264.8,1.0956,338.345
1981-W36,163.143713,5.451497,681.275595,8.414881,31.755952,267.2,1.0668,337.4775
1981-W37,184.556886,3.158683,681.046429,6.305389,57.101796,269.333,1.077667,337.3275
1981-W38,167.479042,3.64491,682.133929,8.740476,50.886905,265.2,1.0528,338.285
1981-W39,149.52381,5.591071,682.0375,9.117857,37.369048,258.4,1.134,337.556
1981-W40,196.720238,2.719643,681.310119,7.870659,40.652695,258.2,1.1552,337.196
1981-W41,230.467066,2.592814,680.817262,7.574251,45.808383,257.4,1.1484,336.9114
1981-W42,143.327381,2.908929,681.535714,8.543713,30.317241,255.75,1.15025,337.82
1981-W43,225.761905,3.241667,681.082143,6.87006,32.640719,259.6,1.1798,337.6628333
1981-W44,253.184524,4.217857,681.2,6.019643,54.571429,267,1.30825,338.1825
1981-W45,171.180723,3.45241,681.27381,6.231138,52.818182,253.75,1.412,339.355
1981-W46,140.813253,6.256024,683.351786,8.888024,17.491018,255.25,1.27475,338.785
1981-W47,168.538922,3.504192,681.854762,8.180357,29.297619,245.2,1.2944,339.1025
1981-W48,151.54491,6.357485,680.926786,6.26369,29.208333,245,1.347,340.38925
1981-W49,143.892216,7.634731,680.26131,4.155357,41.095238,259.5,1.3955,340.025
1981-W50,149.239521,3.996407,680.705952,5.966452,27.260274,245.6,1.361,339.8283333
