year_week,value
1989-W36,349.5675
1989-W37,349.64125
1989-W38,349.4375
1989-W39,349.98125
1989-W40,349.5978472222222
1989-W41,349.21444444444444
1989-W42,350.38125
1989-W43,350.475
1989-W44,350.81125
1989-W45,351.09875
1989-W46,351.91625
1989-W47,352.424375
1989-W48,352.9325
1989-W49,352.40125
1989-W50,352.74875000000003
1989-W51,352.6925
1989-W52,352.925
1990-W01,354.7266666666667
1990-W02,353.5125
1990-W03,354.03499999999997
1990-W04,353.86625
1990-W05,354.49
1990-W06,356.03000000000003
1990-W07,355.4575
1990-W08,357.45875
1990-W09,356.406875
1990-W10,355.355
1990-W11,356.56399999999996
1990-W12,355.38
1990-W13,356.92833333333334
1990-W14,357.43666666666667
1990-W15,356.195
1990-W16,356.6133333333333
1990-W17,357.0016666666666
1990-W18,357.9083333333333
1990-W19,356.92833333333334
1990-W20,358.065
1990-W21,358.065
1990-W22,357.4683333333333
1990-W23,357.0516666666667
1990-W24,356.2866666666667
1990-W25,355.9316666666667
1990-W26,355.76
1990-W27,356.08500000000004
1990-W28,353.22333333333336
1990-W29,353.775
1990-W30,354.32666666666665
1990-W31,353.90333333333336
1990-W32,351.49333333333334
1990-W33,353.42833333333334
1990-W34,352.4483333333333
1990-W35,350.90000000000003
1990-W36,350.22166666666664
1990-W37,351.3666666666666
1990-W38,352.29833333333335
1990-W39,351.0933333333333
1990-W40,351.3516666666667
1990-W41,351.27833333333336
1990-W42,351.69666666666666
1990-W43,351.69
1990-W44,352.2083333333333
1990-W45,352.3766666666667
1990-W46,353.395
1990-W47,353.6145
1990-W48,353.834
1990-W49,353.44166666666666
1990-W50,356.39166666666665
1990-W51,356.2875
1990-W52,356.18333333333334
1991-W01,354.41333333333336
1991-W02,355.229
1991-W03,354.9883333333333
1991-W04,354.56666666666666
1991-W05,355.52833333333336
1991-W06,355.945
1991-W07,356.6583333333333
1991-W08,356.76666666666665
1991-W09,355.42
1991-W10,357.91333333333336
1991-W11,358.24499999999995
1991-W12,357.64000000000004
1991-W13,358.46333333333337
1991-W14,358.47
1991-W15,357.3533333333333
1991-W16,360.0
1991-W17,358.9866666666667
1991-W18,359.955
1991-W19,358.55833333333334
1991-W20,360.1816666666667
1991-W21,359.5833333333333
1991-W22,359.19
1991-W23,358.7966666666667
1991-W24,358.8633333333333
1991-W25,358.3416666666667
1991-W26,359.2
1991-W27,356.1666666666667
1991-W28,356.52500000000003
1991-W29,355.456
1991-W30,354.88166666666666
1991-W31,354.4316666666667
1991-W32,355.07
1991-W33,354.59833333333336
1991-W34,353.4866666666667
1991-W35,353.72499999999997
1991-W36,352.41
1991-W37,352.4633333333333
1991-W38,351.3966666666667
1991-W39,352.185
1991-W40,352.2916666666667
1991-W41,352.6066666666666
1991-W42,352.5333333333333
1991-W43,352.92
1991-W44,353.3433333333333
1991-W45,355.09666666666664
1991-W46,353.78833333333336
1991-W47,354.08666666666664
1991-W48,354.715
1991-W49,354.9483333333333
1991-W50,355.1133333333333
1991-W51,355.7133333333333
1991-W52,357.7083333333333
1992-W01,356.55
1992-W02,356.1666666666667
1992-W03,357.1466666666667
1992-W04,357.1033333333333
1992-W05,357.47166666666664
1992-W06,356.92833333333334
1992-W07,357.7866666666667
1992-W08,357.55833333333334
1992-W09,357.03666666666663
1992-W10,358.4316666666667
1992-W11,358.84999999999997
1992-W12,359.49499999999995
1992-W13,359.095
1992-W14,358.9316666666667
1992-W15,359.1266666666667
1992-W16,359.92
1992-W17,360.3716666666666
1992-W18,360.25
1992-W19,360.23
1992-W20,358.7083333333333
1992-W21,359.285
1992-W22,360.8666666666666
1992-W23,360.7516666666667
1992-W24,360.28
1992-W25,359.135
1992-W26,358.68833333333333
1992-W27,358.7575
1992-W28,356.3966666666667
1992-W29,356.69
1992-W30,357.37833333333333
1992-W31,354.74333333333334
1992-W32,356.15000000000003
1992-W33,356.11199999999997
1992-W34,354.7283333333333
1992-W35,353.61
1992-W36,354.26
1992-W37,355.1366666666667
1992-W38,353.2
1992-W39,354.01
1992-W40,352.71166666666664
1992-W41,353.5575
1992-W42,353.95166666666665
1992-W43,353.635
1992-W44,353.52666666666664
1992-W45,354.8883333333333
1992-W46,356.06333333333333
1992-W47,355.03999999999996
1992-W48,355.0825
1992-W49,355.0925
1992-W50,356.7125
1992-W51,355.685
1992-W52,356.25125
1992-W53,356.8175
1993-W01,356.815
1993-W02,357.875
1993-W03,356.855
1993-W04,356.55625
1993-W05,357.3175
1993-W06,357.51
1993-W07,357.265
1993-W08,357.49
1993-W09,359.7125
1993-W10,359.1075
1993-W11,358.6366666666667
1993-W12,358.095
1993-W13,358.845
1993-W14,358.1825
1993-W15,360.17
1993-W16,360.3975
1993-W17,360.1175
1993-W18,360.3325
1993-W19,360.8825
1993-W20,361.0875
1993-W21,360.7575
1993-W22,359.77
1993-W23,360.14
1993-W24,359.7975
1993-W25,359.7925
1993-W26,358.1275
1993-W27,358.90999999999997
1993-W28,358.3325
1993-W29,357.41
1993-W30,356.49
1993-W31,356.41499999999996
1993-W32,356.0425
1993-W33,355.3625
1993-W34,354.855
1993-W35,353.45
1993-W36,353.09000000000003
1993-W37,354.6925
1993-W38,354.60249999999996
1993-W39,353.265
1993-W40,353.9866666666667
1993-W41,354.055
1993-W42,355.3
1993-W43,354.0675
1993-W44,355.105
1993-W45,355.6775
1993-W46,358.04499999999996
1993-W47,356.2925
1993-W48,356.315
1993-W49,356.4475
1993-W50,361.17
1993-W51,357.72
1993-W52,357.8225
1994-W01,358.21000000000004
1994-W02,358.35249999999996
1994-W03,358.39
1994-W04,359.68
1994-W05,358.6975
1994-W06,358.90999999999997
1994-W07,358.695
1994-W08,360.14
1994-W09,358.125
1994-W10,358.7925
1994-W11,361.2175
1994-W12,361.315
1994-W13,360.3275
1994-W14,361.32
1994-W15,360.3825
1994-W16,361.6625
1994-W17,361.745
1994-W18,361.625
1994-W19,361.79
1994-W20,361.9125
1994-W21,359.8925
1994-W22,361.52
1994-W23,361.73625
1994-W24,360.6625
1994-W25,360.3575
1994-W26,358.9875
1994-W27,359.35
1994-W28,358.0125
1994-W29,359.2275
1994-W30,358.89750000000004
1994-W31,357.72249999999997
1994-W32,357.4075
1994-W33,357.2925
1994-W34,356.66499999999996
1994-W35,356.4625
1994-W36,354.6675
1994-W37,353.62
1994-W38,355.2725
1994-W39,355.1566666666667
1994-W40,355.8175
1994-W41,356.42
1994-W42,354.9575
1994-W43,356.85
1994-W44,356.76
1994-W45,357.235
1994-W46,357.39
1994-W47,358.2575
1994-W48,358.1375
1994-W49,360.0725
1994-W50,359.90250000000003
1994-W51,360.00125
1994-W52,360.1
1995-W01,361.105
1995-W02,359.9675
1995-W03,359.9325
1995-W04,360.18666666666667
1995-W05,360.21000000000004
1995-W06,361.0275
1995-W07,360.9975
1995-W08,361.31
1995-W09,362.275
1995-W10,361.395
1995-W11,360.7575
1995-W12,362.315
1995-W13,363.4775
1995-W14,363.4466666666667
1995-W15,363.2125
1995-W16,362.6433333333334
1995-W17,363.7525
1995-W18,362.3525
1995-W19,363.4325
1995-W20,364.4
1995-W21,364.0825
1995-W22,364.705
1995-W23,363.9175
1995-W24,363.2966666666667
1995-W25,362.88
1995-W26,362.645
1995-W27,362.1925
1995-W28,362.09
1995-W29,360.7175
1995-W30,361.3575
1995-W31,359.565
1995-W32,359.185
1995-W33,358.105
1995-W34,358.995
1995-W35,356.53
1995-W36,359.0175
1995-W37,358.41499999999996
1995-W38,358.325
1995-W39,357.235
1995-W40,357.9325
1995-W41,357.7825
1995-W42,358.0575
1995-W43,358.53499999999997
1995-W44,359.5675
1995-W45,359.535
1995-W46,359.97249999999997
1995-W47,359.87
1995-W48,360.295
1995-W49,360.4675
1995-W50,360.8675
1995-W51,361.31625
1995-W52,361.765
1996-W01,362.21375
1996-W02,362.6625
1996-W03,362.5925
1996-W04,362.5
1996-W05,362.4075
1996-W06,362.91
1996-W07,362.5325
1996-W08,364.14
1996-W09,364.59
1996-W10,364.105
1996-W11,363.4175
1996-W12,365.1125
1996-W13,369.055
1996-W14,363.3725
1996-W15,365.2275
1996-W16,364.515
1996-W17,365.405
1996-W18,364.885
1996-W19,366.02
1996-W20,365.8175
1996-W21,365.3775
1996-W22,364.8775
1996-W23,365.6325
1996-W24,365.375
1996-W25,365.4475
1996-W26,364.79
1996-W27,364.5325
1996-W28,363.895
1996-W29,363.595
1996-W30,363.21
1996-W31,361.04
1996-W32,362.1825
1996-W33,361.64
1996-W34,361.09
1996-W35,361.2275
1996-W36,359.27750000000003
1996-W37,359.515
1996-W38,358.53999999999996
1996-W39,358.435
1996-W40,359.5775
1996-W41,359.1925
1996-W42,359.89250000000004
1996-W43,359.505
1996-W44,360.505
1996-W45,360.6175
1996-W46,361.045
1996-W47,361.5075
1996-W48,361.295
1996-W49,362.0175
1996-W50,362.2475
1996-W51,362.5375
1996-W52,362.345
1997-W01,362.8475
1997-W02,364.1325
1997-W03,363.285
1997-W04,363.9825
1997-W05,363.5025
1997-W06,363.82
1997-W07,364.2425
1997-W08,364.9825
1997-W09,364.03
1997-W10,364.7175
1997-W11,364.3825
1997-W12,365.29
1997-W13,365.6625
1997-W14,365.755
1997-W15,367.54
1997-W16,367.68
1997-W17,367.08
1997-W18,366.5475
1997-W19,367.5
1997-W20,366.92333333333335
1997-W21,377.202
1997-W22,366.22
1997-W23,365.474
1997-W24,371.348
1997-W25,373.108
1997-W26,365.46
1997-W27,364.668
1997-W28,364.5875
1997-W29,363.355
1997-W30,363.895
1997-W31,363.25
1997-W32,363.385
1997-W33,362.83
1997-W34,362.01
1997-W35,361.2125
1997-W36,360.6075
1997-W37,360.9
1997-W38,360.3674999999999
1997-W39,359.835
1997-W40,361.47
1997-W41,361.0225
1997-W42,361.005
1997-W43,360.9475
1997-W44,361.8325
1997-W45,362.2125
1997-W46,362.4725
1997-W47,363.5275
1997-W48,363.255
1997-W49,364.0499999999999
1997-W50,364.195
1997-W51,364.2025
1997-W52,364.565
1998-W01,364.9275
1998-W02,369.4125
1998-W03,365.55
1998-W04,365.38
1998-W05,366.075
1998-W06,366.2175
1998-W07,365.8725
1998-W08,366.255
1998-W09,366.43
1998-W10,367.3
1998-W11,366.4475
1998-W12,368.105
1998-W13,368.0425
1998-W14,368.435
1998-W15,368.6
1998-W16,368.655
1998-W17,369.03
1998-W18,369.7425
1998-W19,369.4025
1998-W20,368.83
1998-W21,369.7325
1998-W22,369.945
1998-W23,370.0
1998-W24,368.5025
1998-W25,368.645
1998-W26,368.8275
1998-W27,368.18
1998-W28,368.7375
1998-W29,373.7875
1998-W30,365.7325
1998-W31,367.1475
1998-W32,366.55
1998-W33,366.31
1998-W34,364.705
1998-W35,362.4775
1998-W36,365.0125
1998-W37,364.8625
1998-W38,363.8125
1998-W39,364.3425
1998-W40,363.9875
1998-W41,364.09
1998-W42,364.3475
1998-W43,364.85
1998-W44,364.42
1998-W45,365.33
1998-W46,365.73
1998-W47,366.2675
1998-W48,366.1975
1998-W49,367.705
1998-W50,367.69
1998-W51,367.975
1998-W52,367.875
1998-W53,368.245
1999-W01,369.075
1999-W02,368.315
1999-W03,368.255
1999-W04,369.5475
1999-W05,368.9875
1999-W06,369.33
1999-W07,368.485
1999-W08,368.8125
1999-W09,367.9
1999-W10,370.62
1999-W11,369.9325
1999-W12,370.3375
1999-W13,371.1825
1999-W14,371.85
1999-W15,371.36
1999-W16,369.635
1999-W17,370.745
1999-W18,371.7725
1999-W19,371.185
1999-W20,370.7075
1999-W21,370.7000000000001
1999-W22,371.8
1999-W23,370.325
1999-W24,370.5675
1999-W25,370.35
1999-W26,368.785
1999-W27,370.785
1999-W28,370.4025
1999-W29,368.4425
1999-W30,368.18125
1999-W31,367.92
1999-W32,394.5425
1999-W33,366.1725
1999-W34,366.6925
1999-W35,362.975
1999-W36,364.4675
1999-W37,365.43
1999-W38,364.9325
1999-W39,364.9075
1999-W40,365.62
1999-W41,365.41
1999-W42,366.23
1999-W43,365.8925
1999-W44,366.265
1999-W45,367.6425
